Dataset,Noise Type,Noise Level Index,Accuracy Mean,Accuracy SE,Relabelling F1 Mean,Relabelling F1 SE,Relabelling Accuracy Mean,Relabelling Accuracy SE
3,1,9,0.032380952,0.012862617,0.158059421,0.02685092,0.064725879,0.014926022
3,2,0,0.953015873,0.007388353,0,0,0,0
3,2,1,0.95047619,0.006048921,0,0,0,0
3,2,2,0.947936508,0.005829322,0,0,0,0
3,2,3,0.923174603,0.011281342,0,0,0,0
3,2,4,0.774603175,0.041799375,0,0,0,0
3,2,5,0.210793651,0.041702252,0,0,0,0
3,2,6,0.093968254,0.01829059,0,0,0,0
3,2,7,0.072380952,0.014529102,0,0,0,0
3,2,8,0.085079365,0.017956287,0,0,0,0
3,2,9,0.047619048,0.016402016,0,0,0,0
4,0,0,0.850793651,0.024471955,0,0,0,0
4,0,1,0.813968254,0.020291183,0.329620738,0.030214376,0.573469388,0.025776521
4,0,2,0.779047619,0.0271928,0.49722328,0.033837477,0.6,0.025765782
4,0,3,0.805714286,0.026752784,0.615756908,0.033044455,0.608441558,0.025551859
4,0,4,0.653968254,0.028465412,0.527264204,0.022083647,0.488619855,0.02113851
4,0,5,0.627301587,0.029995825,0.615650244,0.026485664,0.521722114,0.02652206
4,0,6,0.554285714,0.028063965,0.649154464,0.019156642,0.48961039,0.026698384
4,0,7,0.42031746,0.016382487,0.658305901,0.009927006,0.397226075,0.016770612
4,0,8,0.34031746,0.024407432,0.676992813,0.008065034,0.350363196,0.0226917
4,0,9,0.206349206,0.02380143,0.725501675,0.008823658,0.221052632,0.025015393
4,1,0,0.982222222,0.003129464,0,0,0,0
4,1,1,0.963174603,0.005461794,0.687464739,0.01996384,0.781632653,0.018273738
4,1,2,0.944761905,0.006270284,0.827090123,0.019322002,0.786206897,0.018690212
4,1,3,0.897142857,0.006117141,0.890565302,0.008252066,0.825974026,0.011746523
4,1,4,0.822222222,0.009727056,0.897699242,0.008477886,0.823728814,0.010880522
4,1,5,0.690793651,0.010560451,0.889728398,0.010752318,0.804696673,0.013874125
4,1,6,0.513015873,0.01011897,0.799266468,0.027731938,0.663636364,0.040200013
4,1,7,0.245714286,0.011412999,0.588082665,0.012773985,0.279889043,0.016116032
4,1,8,0.053333333,0.005327728,0.578448148,0.010174951,0.166101695,0.019159404
4,1,9,0.023492063,0.003521647,0.590203935,0.011640337,0.067024705,0.010776841
4,2,0,0.953015873,0.007388353,0,0,0,0
4,2,1,0.943492063,0.005338844,0,0,0,0
4,2,2,0.937777778,0.010419164,0,0,0,0
4,2,3,0.93968254,0.006542347,0,0,0,0
4,2,4,0.914920635,0.008855479,0,0,0,0
4,2,5,0.888888889,0.010970161,0,0,0,0
4,2,6,0.706666667,0.038659991,0,0,0,0
4,2,7,0.282539683,0.019720454,0,0,0,0
4,2,8,0.145396825,0.017999155,0,0,0,0
4,2,9,0.060952381,0.009569762,0,0,0,0
5,0,0,0.832063492,0.00425876,0,0,0,0
5,0,1,0.830349206,0.004389901,0.536526015,0.008084819,0.794214687,0.005791567
5,0,2,0.832380952,0.003286362,0.727041134,0.004752966,0.782388306,0.004770066
5,0,3,0.835428571,0.003548245,0.820315596,0.003114354,0.792948468,0.004400257
5,0,4,0.834095238,0.004122759,0.875096081,0.002483529,0.790736844,0.003974452
5,0,5,0.824190476,0.004998825,0.908633512,0.002329041,0.779973596,0.005682636
5,0,6,0.81815873,0.005279597,0.937457563,0.001927731,0.777502617,0.005185577
5,0,7,0.711555556,0.012841472,0.938306262,0.002530343,0.685366464,0.012801677
5,0,8,0.132634921,0.015479277,0.876835919,0.002419743,0.127863042,0.015509339
5,0,9,0.019619048,0.002900266,0.918260322,0.00085548,0.020999045,0.003483925
5,1,0,0.976380952,0.001378885,0,0,0,0
5,1,1,0.975301587,0.001476788,0.591874113,0.006043448,0.83329211,0.005526077
5,1,2,0.970031746,0.001578913,0.7720038,0.004506727,0.825097472,0.003941805
5,1,3,0.958539683,0.002093257,0.855268001,0.003114917,0.835192045,0.003976978
5,1,4,0.931619048,0.002425931,0.901477195,0.002072699,0.835455592,0.002436282
5,1,5,0.875619048,0.003913671,0.935429207,0.001535945,0.840447725,0.003000196
5,1,6,0.738984127,0.00430051,0.952899453,0.001209254,0.81963084,0.004687671
5,1,7,0.474412698,0.006327095,0.933625445,0.002960191,0.677588012,0.01423754
5,1,8,0.12831746,0.004579047,0.849055755,0.002810968,0.12988571,0.012723706
5,1,9,0.001333333,0.000366679,0.884845796,0.001569112,0.010732845,0.001114248
5,2,0,0.867619048,0.002960873,0,0,0,0
5,2,1,0.87415873,0.003263299,0,0,0,0
5,2,2,0.875492063,0.003351628,0,0,0,0
5,2,3,0.882095238,0.003067783,0,0,0,0
5,2,4,0.880380952,0.003164391,0,0,0,0
5,2,5,0.878222222,0.003399957,0,0,0,0
5,2,6,0.855428571,0.004594067,0,0,0,0
5,2,7,0.696126984,0.013169659,0,0,0,0
5,2,8,0.142412698,0.01315485,0,0,0,0
5,2,9,0.008634921,0.001331999,0,0,0,0
6,0,0,0.832063492,0.00425876,0,0,0,0
6,0,1,0.829968254,0.004412934,0.536616636,0.006556078,0.784907122,0.0080056
6,0,2,0.82368254,0.004252574,0.716900343,0.006889984,0.777434863,0.00648698
6,0,3,0.78952381,0.008881216,0.779316672,0.00939855,0.755778655,0.009076481
6,0,4,0.545396825,0.026575363,0.642425676,0.023044857,0.512322056,0.027506472
6,0,5,0.184761905,0.016093188,0.408374549,0.014582219,0.172279358,0.015329947
6,0,6,0.081714286,0.008641797,0.389469984,0.012464985,0.085124704,0.008529471
6,0,7,0.04247619,0.005345436,0.41490999,0.012178631,0.047134526,0.005818871
6,0,8,0.048380952,0.006786404,0.46520233,0.011981083,0.056629981,0.007648926
6,0,9,0.042730159,0.005482875,0.501534868,0.012349323,0.045964577,0.005702196
6,1,0,0.976380952,0.001378885,0,0,0,0
6,1,1,0.971492063,0.001531184,0.597531838,0.006842901,0.828329899,0.007375393
6,1,2,0.93752381,0.002018221,0.762104265,0.006023779,0.822090576,0.004805983
6,1,3,0.833269841,0.003968426,0.810573542,0.009256108,0.792763199,0.008806324
6,1,4,0.599619048,0.00711851,0.644070451,0.023898155,0.558317601,0.025226546
6,1,5,0.309269841,0.007038192,0.370317255,0.014000543,0.209962785,0.013056871
6,1,6,0.104126984,0.004215527,0.307015674,0.011374568,0.108556746,0.009266695
6,1,7,0.028190476,0.001855382,0.317897691,0.008455675,0.073755251,0.0071733
6,1,8,0.006539683,0.000809441,0.330458696,0.008267208,0.041308953,0.005025224
6,1,9,0.00247619,0.000497083,0.353483933,0.009943736,0.03300456,0.004448448
6,2,0,0.867619048,0.002960873,0,0,0,0
6,2,1,0.86831746,0.002890028,0,0,0,0
6,2,2,0.866793651,0.003447401,0,0,0,0
6,2,3,0.830857143,0.007486348,0,0,0,0
6,2,4,0.602666667,0.02347519,0,0,0,0
6,2,5,0.232253968,0.014225481,0,0,0,0
6,2,6,0.101587302,0.009274803,0,0,0,0
6,2,7,0.063047619,0.007010188,0,0,0,0
6,2,8,0.035238095,0.00429549,0,0,0,0
6,2,9,0.02952381,0.004415942,0,0,0,0
7,0,0,0.832063492,0.00425876,0,0,0,0
7,0,1,0.828190476,0.004193446,0.531652004,0.006273019,0.780207668,0.007882141
7,0,2,0.820761905,0.004525812,0.715338491,0.006362036,0.774960095,0.006478595
7,0,3,0.798412698,0.008216679,0.787672132,0.008624834,0.755112884,0.00963872
7,0,4,0.557269841,0.02501384,0.644501525,0.021987372,0.516211504,0.026149332
7,0,5,0.168253968,0.014637316,0.399841637,0.014571501,0.162101117,0.01473808
7,0,6,0.08615873,0.00918692,0.39005223,0.011239551,0.089433014,0.009345539
7,0,7,0.052190476,0.006977724,0.423083756,0.012120507,0.053976294,0.007166205
